show_id,title,type,director,country,release_year,date_added,genre,duration,content_rating,user_rating,language,views_million
s0107,Re-engineered fault-tolerant knowledge user,Movie,Susan Crawford MD,Italy,2008,2020-03-16,"Crime, Animation",173 min,PG-13,6.8,Korean,118.1
s0108,Multi-lateral fresh-thinking budgetary management,Movie,,Canada,1996,2018-08-15,Adventure,102 min,PG-13,1.9,French,279.3
s0109,Customer-focused user-facing middleware,Movie,Christian Ray,Australia,2016,2021-04-21,Biography,84 min,PG,8.5,Turkish,492.4
s0110,Operative dedicated implementation,Movie,Jasmin Alvarez,Brazil,1991,2024-11-29,"Fantasy, Crime",123 min,TV-14,3.8,English,9.7
s0111,Phased exuding software,Movie,Anne Moreno,Italy,2007,2023-03-12,"Comedy, Thriller",104 min,PG,2.2,Hindi,365.6
s0112,Reactive bi-directional open architecture,Movie,Brandon Kim,Germany,1999,2025-12-24,"Horror, Documentary",147 min,R,3.9,French,272.9
s0113,Diverse didactic projection,Movie,Kyle Kim,Italy,2022,2019-02-19,Drama,90 min,TV-MA,7.4,English,278.9
s0114,Ameliorated client-server collaboration,Movie,Rachel Hoffman,Japan,2024,2021-12-29,"Biography, Action",98 min,PG-13,8.2,French,209.2
s0115,Reduced object-oriented open system,TV Show,Timothy Crawford,,2006,2025-05-27,"Mystery, Fantasy",8 Seasons,TV-MA,2.6,Japanese,146.3
s0116,Operative content-based orchestration,TV Show,Kimberly Contreras,Turkey,2003,2026-06-12,,2 Seasons,TV-PG,6.3,Hindi,39.9
s0117,Advanced cohesive firmware,Movie,Kristie Harris,Spain,1992,2021-12-22,"Biography, Biography",173 min,PG,2.9,Spanish,338.8
s0118,Universal fault-tolerant knowledgebase,Movie,Mary Trujillo,Germany,2000,2024-10-13,"Biography, Romance",119 min,TV-PG,5.3,Hindi,272.0
s0119,Innovative dynamic middleware,Movie,Suzanne Booth,Canada,2022,2025-10-10,"Comedy, Drama",174 min,G,4.2,Spanish,406.2
s0120,Ameliorated logistical hub,Movie,Timothy Howell,Brazil,2006,2023-01-26,Horror,170 min,PG-13,2.2,Korean,480.2
s0121,Realigned uniform concept,TV Show,,Spain,2023,2025-05-28,Romance,4 Seasons,TV-14,2.9,Turkish,258.6
s0122,Cross-platform optimal initiative,Movie,Charles Jenkins,Spain,1996,2021-10-25,"Drama, Fantasy",137 min,R,3.6,German,53.6
s0123,Persevering intangible budgetary management,TV Show,Kimberly Ware,Spain,2006,2020-01-09,Mystery,3 Seasons,TV-14,4.8,German,215.1
s0124,Grass-roots even-keeled archive,Movie,Leah Smith,United States,2005,2024-06-12,Action,142 min,G,3.7,French,292.7
s0125,Grass-roots solution-oriented archive,Movie,Claudia Walker,Japan,2023,2020-01-15,"Family, Comedy",100 min,PG-13,10.0,Turkish,259.2
s0126,Intuitive systematic system engine,Movie,Nathan Davis,Germany,2009,2019-06-28,"Documentary, Horror",140 min,TV-MA,8.8,English,490.9
s0127,Devolved incremental migration,TV Show,Richard Church,Japan,2014,2024-06-08,"Adventure, Comedy",5 Seasons,TV-14,4.0,Korean,313.6
s0128,Fully-configurable fresh-thinking open system,Movie,Miguel Johnson,Germany,2020,2023-12-11,,158 min,PG,6.0,German,62.2
s0129,Stand-alone systemic Graphical User Interface,Movie,Jennifer Lamb,Turkey,2010,2022-12-06,Mystery,151 min,R,9.5,German,52.4
s0130,Re-contextualized systematic open architecture,TV Show,Derrick Arnold,Brazil,1994,2019-11-26,Fantasy,6 Seasons,R,1.4,German,265.5
s0131,Triple-buffered actuating framework,Movie,Brian Brooks,Canada,1991,2025-03-24,"Mystery, Crime",168 min,PG,3.4,German,220.8
s0132,Universal next generation matrices,Movie,Tonya Fowler,France,1999,2019-04-03,Family,178 min,PG,3.6,Turkish,207.8
s0133,Inverse high-level knowledgebase,Movie,,,2020,2020-07-31,Family,163 min,G,7.6,Korean,126.7
s0134,Synchronized real-time extranet,TV Show,,United States,2002,2022-12-13,Horror,4 Seasons,TV-MA,1.9,Japanese,481.0
s0135,Diverse uniform protocol,Movie,Erin Sharp,,1993,2019-02-15,Romance,173 min,R,6.2,English,129.3
s0136,Fully-configurable empowering neural-net,Movie,Brian Davis,,2017,2024-06-21,Romance,98 min,PG-13,9.9,Korean,211.1
s0137,Multi-tiered empowering success,Movie,Jo Perez,Australia,2010,2020-04-23,"Fantasy, Family",173 min,G,1.3,English,486.4
s0138,Enterprise-wide cohesive toolset,Movie,Gregory Mccoy,Germany,2025,2025-09-12,Biography,165 min,PG,8.6,German,296.3
s0139,Innovative client-server model,Movie,Jon Moore,Brazil,1996,2021-01-29,Action,158 min,TV-PG,7.5,German,497.9
s0140,Cross-group neutral paradigm,TV Show,Peggy Rodriguez,,2009,2020-07-23,Adventure,8 Seasons,PG,7.4,French,136.2
s0141,Persistent attitude-oriented matrix,Movie,Samuel Ryan,France,2015,2025-03-04,"Drama, Fantasy",151 min,PG,2.1,Japanese,223.9
s0142,Persevering actuating standardization,Movie,Nicholas Prince,South Korea,2008,2018-12-25,Adventure,163 min,G,4.9,Korean,154.8
s0143,Grass-roots zero-defect hub,Movie,,Japan,2000,2022-09-03,Adventure,110 min,PG,10.0,Korean,128.3
s0144,User-friendly 24hour workforce,Movie,Andrew Rodriguez,United Kingdom,1991,2022-08-31,"Thriller, Family",132 min,TV-14,1.4,Turkish,37.5
s0145,Customer-focused bottom-line firmware,Movie,Molly Bailey,United Kingdom,2021,2026-04-05,Horror,143 min,G,1.2,English,16.1
s0146,Profit-focused explicit interface,TV Show,Linda Walker,Australia,1996,2025-06-18,Biography,6 Seasons,TV-PG,8.9,French,389.6
s0147,Devolved radical definition,Movie,Melissa King MD,Australia,2003,2026-05-01,"Mystery, Sci-Fi",141 min,PG,1.3,English,91.9
s0148,Synergistic logistical budgetary management,Movie,Shannon Roberts,Germany,1999,2023-11-30,Action,153 min,TV-14,8.5,Hindi,487.9
s0149,Virtual national success,TV Show,Ms. Whitney Williams DVM,France,2002,2019-10-07,"Sci-Fi, Sci-Fi",6 Seasons,PG-13,9.2,English,473.6
s0150,Profit-focused foreground product,Movie,Timothy Church,United Kingdom,2006,2021-10-24,"Thriller, Thriller",157 min,TV-MA,,French,58.5
s0151,Self-enabling intermediate forecast,Movie,Samantha Bryant,United States,1990,2026-03-05,Animation,127 min,PG,6.0,Spanish,185.8
s0152,Vision-oriented neutral capacity,Movie,Kathleen Brooks MD,India,1999,2019-03-28,"Crime, Romance",146 min,PG,7.7,Spanish,319.9
s0153,Re-engineered didactic interface,Movie,Eric Wilson,United States,1997,2020-12-14,Crime,120 min,TV-MA,7.7,Turkish,8.6
s0154,Pre-emptive didactic toolset,Movie,Martha Johnson,Spain,2016,2026-02-04,,138 min,TV-MA,4.5,English,104.0
s0155,Cross-group transitional circuit,Movie,Susan Dominguez,Australia,1990,2025-05-27,Horror,101 min,R,9.1,Korean,301.6
s0156,Programmable dynamic flexibility,TV Show,Andrea Ramirez DDS,Germany,2016,2024-08-21,Horror,7 Seasons,G,7.2,Turkish,303.0
s0157,Team-oriented reciprocal collaboration,Movie,Joanna Wilson,Mexico,2023,2021-11-15,,90 min,PG-13,9.6,German,325.9
s0158,Digitized static leverage,Movie,Nancy Gonzalez,South Korea,2007,2022-02-10,Fantasy,146 min,TV-PG,4.2,French,278.1
s0159,Switchable empowering function,Movie,Xavier Caldwell PhD,Spain,2019,2025-03-08,Horror,85 min,TV-PG,9.7,Korean,226.2
s0160,De-engineered incremental open architecture,Movie,Stephen Bates,Japan,2021,2024-06-20,Comedy,113 min,PG,7.5,Spanish,187.3
s0161,Quality-focused multi-state adapter,Movie,Timothy Lopez,South Korea,2017,2019-03-16,,151 min,PG-13,2.8,Turkish,281.6
s0162,Decentralized system-worthy software,Movie,Jeffrey Hart,,2012,2025-09-28,"Mystery, Mystery",86 min,TV-PG,4.9,Hindi,146.0
s0163,Re-contextualized mobile analyzer,Movie,Ryan Martinez,Italy,2005,2022-01-09,"Comedy, Crime",81 min,TV-MA,9.0,Korean,274.4
s0164,Secured non-volatile contingency,Movie,Alex Suarez,Spain,2021,2026-01-17,"Family, Horror",149 min,G,7.5,Japanese,387.9
s0165,Inverse 24hour benchmark,Movie,Arthur Roberts,Spain,1995,2022-02-14,Drama,159 min,TV-PG,5.3,Korean,318.8
s0166,Open-architected even-keeled challenge,TV Show,Patrick Gutierrez PhD,Turkey,2015,2025-05-02,"Mystery, Animation",6 Seasons,PG-13,,Spanish,43.9
s0167,Synchronized tertiary architecture,Movie,Alexis Brown,Italy,1995,2019-12-05,"Action, Mystery",167 min,R,4.0,Japanese,94.8
s0168,Focused neutral toolset,Movie,,India,2019,2020-01-11,"Horror, Comedy",104 min,PG,7.5,English,345.3
s0169,Inverse methodical customer loyalty,TV Show,April Johnson,Turkey,1996,2025-01-25,Family,5 Seasons,PG-13,4.4,Turkish,27.2
s0170,Switchable system-worthy portal,Movie,Lisa Melendez,Turkey,2011,2023-01-10,Thriller,171 min,G,9.4,English,400.9
s0171,Self-enabling optimal knowledge user,Movie,Victoria James,Germany,1995,2022-08-15,Thriller,115 min,PG,3.2,English,76.2
s0172,Secured zero administration help-desk,TV Show,Alyssa Bell,Germany,2019,2024-09-22,,8 Seasons,R,8.4,German,82.9
s0173,Optional dedicated focus group,Movie,Caitlin Garcia,United Kingdom,2010,2018-11-09,Mystery,115 min,TV-MA,4.9,Hindi,480.7
s0174,Upgradable eco-centric array,TV Show,Robert Martinez,India,2001,2018-08-15,"Horror, Fantasy",5 Seasons,TV-14,2.8,Spanish,409.4
s0175,Down-sized leadingedge encoding,Movie,Gary Wyatt,Mexico,2001,2021-03-15,Romance,124 min,TV-14,8.4,Hindi,493.9
s0176,Persevering methodical algorithm,Movie,Douglas Barnes,Japan,2023,2026-03-15,Comedy,162 min,TV-MA,5.1,German,267.6
s0177,Total scalable neural-net,Movie,Ricky Waters,Brazil,2001,2024-11-25,Thriller,96 min,R,2.5,Spanish,290.5
s0178,Programmable analyzing encryption,Movie,Anne Kent,India,2009,2019-02-24,Sci-Fi,179 min,PG,8.1,Hindi,101.2
s0179,Versatile multi-state core,Movie,Renee Reeves,United Kingdom,2019,2018-06-30,Thriller,163 min,PG,,English,251.6
s0180,Object-based holistic initiative,Movie,Kevin Buck,Spain,2014,2020-07-29,Crime,165 min,PG,4.5,Hindi,184.1
s0181,Extended heuristic approach,Movie,Gregory Gibson,India,1990,2021-03-23,Sci-Fi,176 min,TV-14,8.0,Hindi,177.7
s0182,Triple-buffered methodical data-warehouse,TV Show,Kevin Ross,Japan,2012,2020-05-31,Sci-Fi,8 Seasons,R,,German,156.8
s0183,Horizontal attitude-oriented encoding,Movie,Reginald Maldonado,United States,2022,2021-01-18,Fantasy,164 min,PG-13,1.1,Hindi,337.0
s0184,Enterprise-wide dedicated neural-net,TV Show,,United States,2018,2022-12-03,Family,1 Seasons,TV-14,2.9,French,434.8
s0185,Total needs-based functionalities,TV Show,Lawrence Hill,Japan,1992,2021-01-22,"Sci-Fi, Biography",7 Seasons,PG,6.0,Spanish,313.1
s0186,Devolved well-modulated algorithm,Movie,Sarah Bell,Turkey,2002,2024-11-16,"Documentary, Animation",159 min,G,7.6,Korean,126.2
s0187,Fundamental tertiary infrastructure,Movie,Sarah Smith,United Kingdom,2020,2023-11-23,Mystery,164 min,PG-13,,French,70.3
s0188,Digitized client-driven service-desk,Movie,Maria Harris,Spain,2010,2025-08-05,"Crime, Fantasy",134 min,R,8.2,Korean,158.2
s0189,Visionary optimal groupware,Movie,David Cooke,Turkey,2025,2023-05-28,"Thriller, Romance",118 min,PG,9.3,Korean,471.1
s0190,Organized exuding database,TV Show,Andrea Jacobs,United Kingdom,2022,2024-10-02,Biography,3 Seasons,PG,3.4,Turkish,424.8
s0191,Versatile asynchronous open system,Movie,Cody Powell,Japan,2003,2021-08-02,Crime,154 min,TV-PG,6.6,German,206.7
s0192,Extended scalable Graphic Interface,TV Show,Oscar Bailey,United States,2007,2021-06-25,Documentary,6 Seasons,PG,6.4,French,292.7
s0193,Networked encompassing benchmark,Movie,Jennifer Ramirez,India,2016,2024-07-22,Romance,103 min,TV-PG,,Spanish,318.4
s0194,Function-based regional Graphic Interface,Movie,,United Kingdom,2014,2021-05-05,Romance,116 min,G,6.7,German,19.7
s0195,Visionary even-keeled toolset,Movie,David Frank,Spain,2010,2024-09-23,"Biography, Crime",122 min,PG-13,,Korean,327.8
s0196,Digitized radical synergy,Movie,Erik Valdez,,2022,2024-07-24,Thriller,147 min,TV-14,2.2,French,427.6
s0197,Profound next generation encryption,Movie,Joan Tyler,Canada,2016,2025-07-29,Fantasy,124 min,G,9.3,Turkish,396.5
s0198,Robust disintermediate knowledgebase,TV Show,Jennifer Morse,Mexico,2006,2019-12-31,Animation,3 Seasons,TV-MA,3.9,German,161.8
s0199,Polarized value-added pricing structure,Movie,Tracey Smith,United States,1990,2023-03-17,"Drama, Mystery",104 min,G,3.2,English,427.4
